Chr	gene_name	geneStart	geneEnd	exon_count
1	OXCT2	39769701	39771254	1
1	MFSD2A	39955292	39969567	14
1	PPT1	40074060	40097237	9
1	RLF	40161399	40240446	8
1	ZMPSTE24	40258271	40292668	10
1	COL9A2	40301181	40317196	32
1	SMAP2	40374120	40422100	10
1	ZFP69B	40450961	40463588	5
1	EXO5	40514544	40515665	1
1	ZNF684	40533166	40547459	4
1	NFYC	40738843	40770827	9
1	KCNQ4	40784093	40838522	14
1	KCNQ4	41249765	41304194	13
1	CITED4	40861572	40862126	1
1	CTPS1	40983290	41010244	17
1	SLFNL1	41016105	41020659	4
1	SCMH1	41028193	41159729	11
1	EDN2	41479408	41484600	5
1	HIVEP3	41510450	41584796	6
1	GUCA2B	42153450	42155595	3
1	GUCA2A	42162905	42164711	3
1	RIMKLA	42380934	42414973	5
1	ZMYND12	42430735	42455996	8
1	PPIH	42658446	42667418	9
1	YBX1	42682565	42701014	7
1	CLDN19	42735085	42740062	5
1	P3H1	42746696	42766970	15
1	C1orf50	42767311	42775393	5
1	SVBP	42807413	42816543	2
1	ERMAP	42830448	42843231	10
1	ZNF691	42850958	42851812	1
1	SLC2A1	42927040	42958650	10
1	EBNA1BP2	43164442	43172117	9
1	CFAP57	43172753	43210083	10
1	TMEM125	43272722	43273381	1
1	C1orf210	43282784	43283269	2
1	TIE1	43301071	43322721	23
1	MPL	43337848	43352771	12
1	CDC20	43359215	43363128	10
1	ELOVL1	43363915	43365608	7
1	MED8	43384449	43389763	8
1	MED8	43385041	43389763	7
1	HYI	43451309	43453792	8
1	PTPRF	43545075	43622002	32
1	PTPRF	43545075	43622002	31
1	KDM4A	43653175	43704369	21
1	ST3GAL3	43736262	43930220	11
1	ST3GAL3	43736262	43930220	12
1	ST3GAL3	43736262	43930220	11
1	ST3GAL3	43736262	43930220	9
1	ST3GAL3	43736262	43930220	12
1	ST3GAL3	43736262	43930220	10
1	ST3GAL3	43736262	43930220	11
1	ST3GAL3	43736262	43930201	6
1	ST3GAL3	43736262	43930201	6
1	ARTN	43935656	43936764	3
1	ARTN	43935656	43936764	3
1	IPO13	43947600	43967681	20
1	DPH2	43970175	43972538	6
1	ATP6V0B	43975040	43978006	8
1	B4GALT2	43981160	43990447	6
1	CCDC24	43991878	43996159	8
1	KLF17	44118907	44130755	3
1	DMAP1	44213753	44220617	10
1	RNF220	44412097	44650774	14
1	TMEM53	44654558	44674390	3
1	KIF2C	44739932	44767178	21
1	RPS8	44775596	44778684	6
1	BEST4	44784209	44787704	9
1	PLK3	44800463	44805677	15
1	PTCH2	44822414	44842931	22
1	EIF2B3	44850950	44981167	11
1	UROD	45012265	45015497	10
1	HPDL	45327148	45328263	1
1	MUTYH	45329305	45340253	16
1	TOE1	45340252	45343701	8
1	PRDX1	45511328	45519042	5
1	AKR1A1	45561794	45569955	8
1	NASP	45584146	45618140	15
1	NASP	45584146	45618140	14
1	NASP	46056902	46083812	15
1	CCDC17	45858533	45861331	10
1	GPBP1L1	45628255	45659086	10
1	PIK3R3	46043672	46131951	10
1	TSPAN1	46181107	46185532	7
1	POMGNT1	46189269	46197820	21
1	RAD54L	46248405	46278281	18
1	LRRC41	46278864	46303321	10
1	NSUN4	46340826	46361845	6
1	FAAH	46394348	46413574	15
1	DMBX1	46507010	46512493	4
1	KNCN	46785584	46785994	1
1	MKNK1	46558574	46594145	13
1	MOB3C	46609654	46615075	4
1	MOB3C	46609654	46613320	3
1	ATPAF1	46635775	46668390	9
1	CYP4B1	46799081	46818813	12
1	CYP4A11	46930114	46941432	12
1	CYP4X1	47023817	47050173	12
1	CYP4Z1	47067490	47117933	12
1	PDZK1IP1	47183970	47189931	4
1	TAL1	47219719	47225887	3
1	STIL	47251135	47310318	16
1	CMPK1	47333945	47376744	6
1	FOXE3	47416315	47417274	1
1	SPATA6	48298712	48472007	13
1	BEND5	48727885	48776830	6
1	ELAVL4	50109189	50201177	7
1	FAF1	50441439	50959810	19
1	CDKN2C	50970368	50974269	2
1	RNF11	51236756	51271321	3
1	EPS15	51356699	51519230	25
1	OSBPL9	51729974	51787788	20
1	NRDC	51789235	51878614	33
1	RAB3B	51919926	51977116	4
1	TXNDC12	52020932	52055095	7
1	KTI12	52032696	52033760	1
1	ZFYVE9	52233206	52346220	17
1	ZFYVE9	52233206	52346220	16
1	ZFYVE9	52698878	52729554	3
1	ORC1	52373180	52402222	16
1	PRPF38A	52404749	52416689	10
1	PRPF38A	52650836	52654949	6
1	GPX7	52602409	52608424	3
1	COA7	52687719	52698325	3
1	ECHDC2	52896519	52921672	9
1	SCP2	52927396	53050703	16
1	PODN	53062219	53082160	10
1	SLC1A7	53088008	53142448	11
1	CPT2	53196943	53213594	5
1	C1orf123	53214658	53220574	8
1	MAGOH	53227044	53238447	5
1	LRP8	53247017	53327911	19
1	LRP8	53247017	53327911	16
1	LRP8	53247017	53327911	17
1	DMRTB1	53459453	53466661	4
1	GLIS1	53506618	53594901	8
1	NDC1	53767969	53838260	18
1	YIPF1	53860063	53888936	8
1	LRRC42	53951999	53967938	7
1	TMEM59	54032149	54053187	8
1	TCEANC2	54054422	54096472	4
1	CDCP2	54139519	54152921	4
1	MRPL37	54200243	54218248	7
1	SSBP3	54227130	54406007	17
1	SSBP3	54227130	54406007	18
1	ACOT11	54548309	54634728	17
1	ACOT11	54548309	54609111	16
1	FAM151A	54609267	54623394	8
1	MROH7	54830620	54877852	17
1	TTC4	54715908	54741512	10
1	PARS2	54757733	54759160	1
1	TTC22	54785545	54801162	6
1	LEXM	54806116	54841675	10
1	DHCR24	54852232	54887118	9
1	TMEM61	54981065	54992102	3
1	BSND	54999186	55008627	4
1	PCSK9	55039837	55063583	12
1	PLPP3	56496550	56579015	6
1	PRKAA2	56645387	56707712	9
1	C8A	56854901	56917715	11
1	DAB1	57010694	57291029	13
1	OMA1	58480964	58539293	8
1	TACSTD2	58576184	58577155	1
1	JUN	58782074	58783069	1
1	FGGY	59321549	59762583	15
1	HOOK1	59815117	59872964	22
1	CYP2J2	59893650	59926745	9
1	C1orf87	59990672	60072642	11
1	NFIA	61082791	61455378	10
1	PATJ	62001152	62352509	35
1	PATJ	61762892	62160934	42
1	PATJ	62001152	62352509	33
1	L1TD1	62206628	62211371	2
1	KANK4	62238276	62281563	9
1	USP1	62439867	62450980	8
1	ANGPTL3	62597566	62604816	7
1	ATG4C	62803786	62864158	10
1	FOXD3	63323058	63324494	1
1	PGM1	63593488	63659674	11
1	ROR1	63774417	64178854	9
1	UBE2U	64204050	64244132	9
1	CACHD1	64470897	64691560	27
1	AK4	65148407	65226176	5
1	LEPROT	65420724	65431918	4
1	LEPR	65565565	65637014	18
1	PDE4B	65913314	66372677	16
1	TCTEX1D1	66754658	66777453	4
1	INSL5	66798012	66801220	2
1	WDR78	66814129	66924830	17
1	SLC35D1	67004339	67054012	12
1	IL23R	67168120	67259127	10
1	IL12RB2	67320368	67396088	15
1	SERBP1	67413206	67430299	8
1	GADD45A	67685494	67687773	4
1	DIRAS3	68046607	68047296	1
1	WLS	68126225	68232298	12
1	RPE65	68429775	68449904	14
1	DEPDC1	68476931	68496998	11
1	LRRC7	69760204	70121886	25
1	LRRC40	70145799	70205539	15
1	SRSF11	70221636	70250804	12
1	ANKRD13C	70262716	70354407	13
1	HHLA3	70354951	70366517	2
1	CTH	70411415	70439126	12
1	CTH	70411415	70439126	11
1	PTGER3	70852838	71047576	4
1	PTGER3	71328051	71513259	5
1	PTGER3	71328051	71513259	4
1	PTGER3	70952906	71047576	4
1	PTGER3	70953785	71047576	4
1	PTGER3	70971729	71047576	4
1	PTGER3	71012214	71047576	2
1	ZRANB2	71065073	71080994	10
1	ZRANB2	71065718	71080994	10
1	NEGR1	71407445	72282493	7
1	LRRIQ3	74419017	74421955	3
1	FPGT	74198239	74205831	4
1	TNNI3K	74235451	74543981	25
1	CRYZ	74706295	74724820	8
1	TYW3	74733244	74764112	6
1	SLC44A5	75206606	75541446	23
1	ACADM	75724787	75762762	12
1	RABGGTB	75786271	75794649	9
1	MSH4	75796985	75912886	20
1	ASB17	75918951	75932290	3
1	ST6GALNAC3	76074866	76628805	5
1	ST6GALNAC5	76867675	77063205	5
1	PIGK	77092373	77219401	11
1	AK5	77282313	77558669	14
1	AK5	77286958	77558669	13
1	ZZZ3	77565639	77633353	11
1	USP33	77697316	77745461	24
1	USP33	77697316	77741696	23
1	USP33	77711734	77745461	21
1	FAM73A	77779655	77875063	16
1	NEXN-AS1	78066281	78067220	2
1	FUBP1	77948765	77979003	20
1	DNAJB4	78005110	78016246	3
1	GIPC2	78046094	78135742	6
1	PTGFR	78492743	78536686	2
1	IFI44L	78627915	78641808	8
1	IFI44	78650195	78663810	8
1	ADGRL2	81836984	81991144	19
1	TTLL7	83869961	83952210	20
1	PRKACB	84078325	84235304	10
1	PRKACB	84078325	84204489	9
1	PRKACB	84144361	84235304	10
1	DNASE2B	84412425	84414867	2
1	RPF1	84479281	84497469	9
1	GNG5	84501844	84506090	2
1	SPATA1	84754564	84782547	8
1	CTBS	84554998	84574414	7
1	SSX2IP	84647432	84671218	13
1	LPAR3	84813845	84866119	2
1	MCOLN3	85019122	85045359	12
1	WDR63	85071941	85132997	22
1	C1orf52	85252628	85259632	3
1	BCL10	85267626	85276351	3
1	DDAH1	85321451	85465044	6
1	CYR61	85580984	85583041	5
1	ZNHIT6	85654057	85708283	10
1	CLCA2	86424247	86455526	14
1	CLCA1	86468971	86500044	14
1	SH3GLB1	86704899	86743234	9
1	HS2ST1	86915036	87104695	7
1	LINC01140	87370356	87371186	1
1	LMO4	87332015	87344795	4
1	PKN2	88684580	88833447	22
1	GTF2B	88853212	88891498	7
1	RBMXL1	88982653	88983825	1
1	GBP3	89007723	89020720	10
1	GBP1	89053354	89063233	10
1	GBP2	89108174	89121965	10
1	GBP7	89132148	89171934	10
1	GBP4	89185253	89198833	11
1	GBP5	89260703	89269554	10
1	GBP6	89368551	89385468	10
1	LRRC8B	89582650	89593042	2
1	LRRC8C	89686473	89714981	2
1	LRRC8D	89933068	89935644	1
1	ZNF326	89995257	90027700	12
1	ZNF326	89995257	90005247	4
1	ZNF326	90248237	90265847	7
1	BARHL2	90712311	90717194	3
1	ZNF644	90916797	90982352	5
1	ZNF644	90916797	90982330	3
1	SEC63D1	91500660	91581604	17
1	CDC7	91501716	91524434	11
1	BRDT	91962754	92014273	18
1	EPHX4	92030079	92063285	7
1	BTBD8	92080571	92147800	9
1	GLMN	92246529	92297998	18
1	GLMN	92441270	92475576	13
1	RPAP2	92299073	92387010	13
1	RPL5	92832114	92841864	8
1	MTF2	93079526	93137026	15
1	TMED5	93154669	93180241	4
1	DR1	93346645	93360638	3
1	BCAR3	93562240	93674929	11
1	GCLM	93888989	93909162	7
1	ABCA4	93993236	94121044	50
1	ARHGAP29	94173868	94231610	22
1	ABCD3	94418478	94517128	23
1	F3	94530459	94541635	6
1	SLC44A3	94824501	94894921	13
1	ALG14	94983075	95072897	4
1	TMEM56	95143901	95191867	6
1	PTBP2	96721864	96813404	14
1	SNX7	98661731	98760130	9
1	SNX7	98661731	98760130	8
1	PLPPR4	99264449	99307009	7
1	PALMD	99646317	99694061	8
1	AGL	99851042	99921650	33
1	AGL	99852669	99921650	33
1	AGL	99861471	99921650	32
1	SLC35A3	99993554	100022475	7
1	MFSD14A	100038232	100082208	12
1	SASS6	100085327	100132813	17
1	TRMT13	100133168	100148819	11
1	LRRC39	100149041	100168515	8
1	DBT	100196254	100249819	11
1	RTCA	100266375	100291503	11
1	CDC14A	100352954	100518279	16
1	CDC14A	100352954	100499378	15
1	CDC14A	100352954	100484465	11
1	GPR88	100538966	100540120	1
1	VCAM1	100719860	100738282	9
1	VCAM1	100719860	100738282	8
1	EXTL2	100873941	100888756	4
1	SLC30A7	100896262	100974856	11
1	S1PR1	101238984	101240132	1
1	COL11A1	102878018	103108177	67
1	COL11A1	103343574	103573733	67
1	COL11A1	102878018	103108177	65
1	RNPC3	103526070	103551779	14
1	AMY2B	103571602	103579499	10
1	AMY2A	103617440	103625745	10
1	VAV3	107573330	107964868	27
1	SLC25A24	108136652	108192620	10
1	HENMT1	108648565	108659883	7
1	PRPF38B	108692591	108700019	6
1	FNDC7	109066580	109085948	8
